Device Info:
Type:,Intel RealSense D455
HW Id:,0B5C
Serial Num:,146222250580
Firmware Ver:,5.17.0.10

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,848x480,30
Infrared 1,Y8,848x480,30

Environment:
Plane-Fit_distance_mm,1523.026001
Ground-Truth_Distance_mm,N/A

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error pixel,Temporal Noise %,Plane Fit RMS Error mm ,
77,13251,442342.1858,100.0000,,0.3698,0.0420,0.2009,5.6318,
78,13255,442450.6076,100.0000,,0.3664,0.0417,0.2005,5.5816,
79,13258,442569.2584,100.0000,,0.3467,0.0391,0.2004,5.2778,
80,13263,442684.8776,100.0000,,0.3373,0.0378,0.2001,5.1356,
81,13265,442803.4448,100.0000,,0.3564,0.0404,0.2002,5.4281,
82,13269,442920.1578,100.0000,,0.3398,0.0380,0.2006,5.1771,
83,13272,443040.8842,100.0000,,0.3478,0.0392,0.2003,5.2944,
84,13276,443160.5943,100.0000,,0.3778,0.0430,0.2000,5.7547,
85,13280,443278.5530,100.0000,,0.3691,0.0416,0.1995,5.6183,
86,13283,443397.8375,100.0000,,0.3399,0.0382,0.1997,5.1748,
87,13286,443520.2803,100.0000,,0.3305,0.0370,0.2001,5.0326,
88,13290,443631.9296,100.0000,,0.3458,0.0390,0.2013,5.2647,
89,13294,443752.6801,100.0000,,0.3569,0.0402,0.2016,5.4367,
90,13297,443872.2018,100.0000,,0.3547,0.0404,0.2016,5.4000,
91,13301,443988.8646,100.0000,,0.3608,0.0411,0.2013,5.4926,
92,13304,444117.1142,100.0000,,0.3596,0.0408,0.2014,5.4761,
93,13308,444236.5621,100.0000,,0.3484,0.0392,0.2013,5.3079,
94,13311,444358.3560,100.0000,,0.3557,0.0401,0.2011,5.4205,
95,13315,444467.7949,100.0000,,0.3519,0.0398,0.2014,5.3607,
96,13318,444581.9834,100.0000,,0.3571,0.0402,0.2020,5.4395,
97,13322,444699.7617,100.0000,,0.3422,0.0387,0.2017,5.2102,
98,13325,444812.9733,100.0000,,0.3495,0.0396,0.2001,5.3211,
99,13329,444932.1197,100.0000,,0.3540,0.0403,0.2008,5.3906,
100,13332,445044.2509,100.0000,,0.3535,0.0401,0.2005,5.3822,
101,13336,445163.4133,100.0000,,0.3466,0.0391,0.1999,5.2782,
102,13340,445275.6542,100.0000,,0.3611,0.0408,0.2008,5.5011,
103,13343,445388.8412,100.0000,,0.3384,0.0382,0.2000,5.1540,
104,13346,445520.8630,100.0000,,0.3629,0.0411,0.2004,5.5281,
105,13351,445633.5961,100.0000,,0.3592,0.0408,0.2006,5.4716,
106,13354,445754.5826,100.0000,,0.3776,0.0430,0.2011,5.7497,
107,13358,445874.1251,100.0000,,0.3773,0.0427,0.2015,5.7470,
108,13361,445993.2841,100.0000,,0.3732,0.0423,0.2016,5.6861,
109,13364,446111.4528,100.0000,,0.3530,0.0399,0.2008,5.3771,
110,13367,446228.3266,100.0000,,0.3641,0.0418,0.2014,5.5443,
111,13371,446347.6470,100.0000,,0.3584,0.0407,0.2020,5.4574,
112,13374,446456.4458,100.0000,,0.3616,0.0413,0.2018,5.5067,
113,13379,446575.3146,100.0000,,0.3510,0.0394,0.2015,5.3463,
114,13382,446695.5416,100.0000,,0.3646,0.0410,0.2025,5.5538,
115,13386,446813.0069,100.0000,,0.3567,0.0403,0.2020,5.4330,
116,13389,446932.6455,100.0000,,0.3399,0.0387,0.2014,5.1774,
117,13392,447051.9502,100.0000,,0.3835,0.0435,0.2019,5.8380,
118,13396,447179.9407,100.0000,,0.3369,0.0381,0.2008,5.1310,
119,13400,447299.0112,100.0000,,0.3730,0.0428,0.2006,5.6790,
120,13404,447420.9315,100.0000,,0.3555,0.0405,0.2006,5.4123,
121,13407,447541.4444,100.0000,,0.3322,0.0374,0.2008,5.0573,
122,13411,447652.6475,100.0000,,0.3510,0.0400,0.2010,5.3460,
123,13414,447771.2721,100.0000,,0.3495,0.0396,0.2002,5.3207,
124,13417,447884.5919,100.0000,,0.3502,0.0399,0.2001,5.3314,
125,13421,448008.9464,100.0000,,0.3331,0.0371,0.1998,5.0722,
