Device Info:
Type:,Intel RealSense D455
HW Id:,0B5C
Serial Num:,146222250580
Firmware Ver:,5.17.0.10

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,848x480,90
Infrared 1,Y8,848x480,90

Environment:
Plane-Fit_distance_mm,1526.154297
Ground-Truth_Distance_mm,N/A

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error pixel,Temporal Noise %,Plane Fit RMS Error mm ,
77,2768,492039.0866,100.0000,,0.3727,0.0424,0.1902,5.6814,
78,2779,492156.9331,100.0000,,0.3726,0.0427,0.1904,5.6789,
79,2790,492275.4154,100.0000,,0.3544,0.0399,0.1900,5.4016,
80,2803,492396.3789,100.0000,,0.3545,0.0401,0.1896,5.4036,
81,2812,492518.4706,100.0000,,0.3692,0.0418,0.1897,5.6272,
82,2823,492630.1541,100.0000,,0.3502,0.0396,0.1899,5.3374,
83,2833,492749.0647,100.0000,,0.3600,0.0403,0.1899,5.4876,
84,2844,492868.4068,100.0000,,0.3601,0.0404,0.1900,5.4908,
85,2854,492990.3621,100.0000,,0.3831,0.0437,0.1896,5.8401,
86,2865,493107.9860,100.0000,,0.3797,0.0431,0.1901,5.7858,
87,2875,493224.0614,100.0000,,0.3718,0.0422,0.1901,5.6663,
88,2886,493344.1802,100.0000,,0.3657,0.0414,0.1908,5.5745,
89,2899,493460.2969,100.0000,,0.3752,0.0428,0.1917,5.7174,
90,2907,493580.4429,100.0000,,0.3577,0.0405,0.1917,5.4519,
91,2919,493693.5426,100.0000,,0.3650,0.0413,0.1908,5.5635,
92,2929,493809.2677,100.0000,,0.3573,0.0402,0.1907,5.4444,
93,2938,493925.0147,100.0000,,0.3611,0.0405,0.1917,5.5029,
94,2950,494044.6679,100.0000,,0.3514,0.0394,0.1916,5.3585,
95,2959,494157.8838,100.0000,,0.3955,0.0447,0.1923,6.0293,
96,2970,494270.5756,100.0000,,0.3619,0.0406,0.1925,5.5176,
97,2980,494387.8875,100.0000,,0.3578,0.0405,0.1918,5.4535,
98,2990,494507.2284,100.0000,,0.3647,0.0413,0.1926,5.5599,
99,3001,494619.0731,100.0000,,0.3570,0.0403,0.1926,5.4429,
100,3011,494739.8880,100.0000,,0.3672,0.0415,0.1931,5.5970,
101,3022,494853.7674,100.0000,,0.3858,0.0439,0.1937,5.8787,
102,3033,494972.3211,100.0000,,0.3858,0.0437,0.1936,5.8811,
103,3043,495091.9381,100.0000,,0.3679,0.0411,0.1934,5.6104,
104,3055,495229.3316,100.0000,,0.3828,0.0433,0.1936,5.8367,
105,3066,495345.9991,100.0000,,0.3526,0.0396,0.1931,5.3784,
106,3076,495461.5734,100.0000,,0.3646,0.0410,0.1921,5.5605,
107,3089,495581.2166,100.0000,,0.3492,0.0393,0.1925,5.3270,
108,3098,495700.2877,100.0000,,0.3626,0.0411,0.1931,5.5312,
109,3109,495812.8081,100.0000,,0.3782,0.0426,0.1939,5.7680,
110,3119,495931.3782,100.0000,,0.3799,0.0428,0.1944,5.7940,
111,3130,496046.9941,100.0000,,0.3676,0.0415,0.1949,5.6082,
112,3140,496165.7731,100.0000,,0.3742,0.0423,0.1961,5.7099,
113,3150,496281.3167,100.0000,,0.3687,0.0415,0.1968,5.6243,
114,3159,496394.8339,100.0000,,0.3518,0.0396,0.1969,5.3655,
115,3170,496513.5883,100.0000,,0.3728,0.0417,0.1969,5.6869,
116,3181,496627.6665,100.0000,,0.3659,0.0411,0.1971,5.5811,
117,3191,496745.7931,100.0000,,0.3552,0.0401,0.1974,5.4166,
118,3204,496861.1782,100.0000,,0.3844,0.0430,0.1979,5.8641,
119,3215,496975.8291,100.0000,,0.3867,0.0439,0.1989,5.8975,
120,3224,497094.9982,100.0000,,0.3785,0.0429,0.1990,5.7718,
121,3235,497210.6810,100.0000,,0.3633,0.0408,0.1994,5.5427,
122,3244,497328.5368,100.0000,,0.3831,0.0437,0.1995,5.8432,
123,3256,497437.9859,100.0000,,0.3841,0.0438,0.1998,5.8570,
124,3264,497556.8601,100.0000,,0.3820,0.0429,0.2007,5.8288,
125,3275,497675.6392,100.0000,,0.3610,0.0407,0.2012,5.5056,
126,3285,497798.6790,100.0000,,0.3520,0.0398,0.2007,5.3683,
127,3296,497911.5608,100.0000,,0.3714,0.0418,0.2012,5.6664,
128,3306,498031.9381,100.0000,,0.3599,0.0404,0.2012,5.4910,
129,3317,498147.7559,100.0000,,0.3699,0.0420,0.2011,5.6424,
130,3327,498263.0701,100.0000,,0.3757,0.0422,0.2016,5.7314,
131,3340,498383.2431,100.0000,,0.3735,0.0424,0.2014,5.6960,
132,3350,498503.7434,100.0000,,0.3643,0.0410,0.2013,5.5567,
133,3361,498620.2679,100.0000,,0.3603,0.0401,0.2013,5.5001,
134,3371,498739.1143,100.0000,,0.3527,0.0395,0.2004,5.3780,
135,3381,498857.4429,100.0000,,0.3763,0.0425,0.2006,5.7398,
136,3392,498976.6868,100.0000,,0.3610,0.0407,0.2011,5.5042,
137,3402,499108.4130,100.0000,,0.3759,0.0425,0.2000,5.7321,
138,3416,499229.4328,100.0000,,0.3737,0.0426,0.2003,5.7011,
139,3426,499348.5124,100.0000,,0.3594,0.0405,0.1994,5.4827,
140,3436,499471.3055,100.0000,,0.3425,0.0385,0.1984,5.2280,
141,3447,499586.8806,100.0000,,0.3596,0.0402,0.1975,5.4860,
142,3458,499699.1264,100.0000,,0.3784,0.0428,0.1980,5.7710,
143,3468,499813.2434,100.0000,,0.3631,0.0409,0.1969,5.5384,
144,3478,499925.3435,100.0000,,0.3768,0.0426,0.1966,5.7482,
145,3487,500043.1956,100.0000,,0.3568,0.0401,0.1965,5.4402,
146,3498,500165.3745,100.0000,,0.3614,0.0404,0.1962,5.5135,
147,3509,500279.6373,100.0000,,0.3616,0.0408,0.1960,5.5153,
148,3519,500395.1732,100.0000,,0.3695,0.0416,0.1960,5.6339,
149,3530,500521.7482,100.0000,,0.3674,0.0413,0.1959,5.6048,
150,3543,500633.0702,100.0000,,0.3734,0.0424,0.1964,5.6953,
151,3552,500753.9991,100.0000,,0.3616,0.0407,0.1959,5.5162,
152,3562,500877.0798,100.0000,,0.3698,0.0420,0.1957,5.6431,
153,3573,500998.2824,100.0000,,0.3731,0.0425,0.1955,5.6927,
154,3585,501116.2184,100.0000,,0.3722,0.0417,0.1960,5.6782,
155,3595,501236.5965,100.0000,,0.3813,0.0430,0.1952,5.8172,
156,3606,501355.0580,100.0000,,0.3634,0.0410,0.1955,5.5422,
157,3617,501474.5282,100.0000,,0.3641,0.0414,0.1956,5.5533,
158,3627,501595.0291,100.0000,,0.3689,0.0423,0.1951,5.6259,
159,3641,501710.7490,100.0000,,0.3694,0.0417,0.1946,5.6349,
160,3650,501819.1295,100.0000,,0.3866,0.0441,0.1945,5.8965,
161,3657,501936.1468,100.0000,,0.3707,0.0421,0.1953,5.6550,
162,3667,502056.2373,100.0000,,0.3609,0.0408,0.1959,5.5042,
163,3682,502172.7368,100.0000,,0.3872,0.0441,0.1952,5.9034,
164,3688,502289.4761,100.0000,,0.3801,0.0429,0.1942,5.7963,
165,3702,502406.6634,100.0000,,0.3870,0.0439,0.1951,5.9064,
